Store Name,Address,Latitude,Longitude,ZipCode,Status,2025 order
A1 Wine & Spirit (Jeffco 1 - 333150),"917 Jeffco Boulevard, Arnold, MO, USA",38.4470481,-90.3727045,63010,Active,910
A1 Wine & Spirit (Hallsferry - 795125),"10625 New Halls Ferry Road, St. Louis, MO, USA",38.7650808,-90.2607123,63136,Active,33
A1 Wine & Spirit (Telegraph - 805306),"4312 Telegraph Road, St. Louis, MO, USA",38.4865664,-90.3036203,63129,Active,52
A1 Wine & Spirit (Pershall - 794250),"3336 Pershall Road, Ferguson, MO, USA",38.770078,-90.2824374,63135,Active,135
A1 Wine & Spirit (Woodson - 163922),"4404 Woodson Road, St. Louis, MO, USA",38.7297864,-90.3569318,63134,Active,38
A1 Liquor (Berkeley - 917527),"6796 North Hanley Road, Berkeley, MO, USA",38.7622514,-90.3366327,63134,Inactive,0
A1 Liquor (Hazelwood - 543479),"7311 North Hanley Road, Hazelwood, MO, USA",38.7729222,-90.3357619,63042,Inactive,0
A1 Liquor (Patterson - 153529),"2875 Patterson Road, Florissant, MO, USA",38.820455,-90.3190104,63031,Inactive,0
A1 Wine & Spirit (Natural Bridge - 300436),"9361 Natural Bridge Road, St. Louis, MO, USA",38.7243422,-90.337921,63134,Active,117
Big Bend Liquor (294706),"3600 South Big Bend Boulevard, Maplewood, MO, USA",38.6019752,-90.3253314,63143,Inactive,0
EZ Quik Mart (EZ Quick Mart - 207097),"80 Meramec Valley Plaza, Valley Park, MO, USA",38.5476207,-90.4931192,63088,Inactive,0
MSD Liquor (MSD Liquor - 568782),"506 North Truman Boulevard, Crystal City, MO, USA",38.2240854,-90.3840064,63019,Inactive,0
SPIRIT SHOP (Spirit Shop - 952954),"10330 Business 21, Hillsboro, MO, USA",38.2430657,-90.5589349,63050,Inactive,0
Mike's Wine and Spirits (Mike's Liquor - 325245),"1801 Irving Park Road, Hanover Park, IL, USA",42.0068214,-88.1498083,60133,Inactive,0
Ultimate Liquor (Ultimate Liquor - 949241),"8316 Lackland Road, St. Louis, MO, USA",38.7023537,-90.3362886,63114,Active,3
A1 Wine & Spirit (A1 Mexico - 334344),"7884 Mexico Road, St. Peters, MO, USA",38.7875453,-90.660778,63376,Active,97
Red Carpet Liquor (RED CARPET - 654845),"410 Pine Lake Avenue, La Porte, IN, USA",41.6202354,-86.7377869,46350,Inactive,0
J&J Liquors (J&J Liquors - 576320),"716 East Lincolnway, La Porte, IN, USA",41.6183852,-86.7051051,46350,Inactive,0
Valley Liquors (496710),"151 Illinois 38, Elburn, IL, USA",41.9026373,-88.4705507,60119,Inactive,0
Wine & Spirits Of Calumet Park (856499),"13065 South Ashland Avenue, Calumet Park, IL, USA",41.657051,-87.6587461,60827,Active,26
Lyons Beverage Express 9041 (780624),"9041 South Ashland Avenue, Chicago, IL, USA",41.7291299,-87.662579,60620,Active,31
Chuck's Wine and Spirits (666238),"386 Three Springs Road, Bowling Green, KY, USA",36.9362152,-86.4203798,42104,Active,59
Lakeview Market (Lakeview Market - 680984),"1118 South Michigan Avenue, Chicago, IL, USA",41.8689383,-87.6246653,60605,Inactive,0
Super Save Grocery & Liquor (SUPERSAVE - 902194),"6259 West Belmont Avenue, Chicago, IL, USA",41.9382432,-87.783297,60634,Inactive,0
Kindred Spirits & Wine (Kindred Inwood Rd - 615022),"3610 Inwood Road, Dallas, TX, USA",32.8314558,-96.8249252,75209,Inactive,0
Jenny's liquors (Jenny's Liquor - 858796),"2316 Elmhurst Road, Mount Prospect, IL, USA",42.0240017,-87.9413694,60056,Active,9
Max's Food & Liquor (Max's Food & Liquor - 178804),"6200 West Belmont Avenue, Chicago, IL, USA",41.9387194,-87.7814716,60634,Inactive,0
Quick Treat Liquor (QT Liquor - 726540),"2011 West Spring Creek Parkway, Plano, TX, USA",33.0588999,-96.7319155,75023,Inactive,7
The Store (433181),"701 Hillsboro Avenue, Edwardsville, IL, USA",38.8152025,-89.9474153,62025,Inactive,0
Liquor Time Liquor (Liquor Time - 208502),"7873 Santa Monica Boulevard, West Hollywood, CA, USA",34.091525,-118.360989,90046,Inactive,0
ABC Liquor (536730),"Main Street, Boston, MA, USA",42.286771,-71.0985449,02129,Inactive,0
TX Liquor (131250),"329 South Central Expressway, Allen, TX, USA",33.1001114,-96.6776161,75013,Inactive,0
Alma Liquor Market (625728),"700 Alma Drive, Plano, TX, USA",33.0098385,-96.7151146,75075,Inactive,0
Carlson's Liquor (Carlson's - 770299),"21900 Ventura Boulevard, Los Angeles, CA, USA",34.1681726,-118.604009,91364,Inactive,0
Chuck Evans Liquor Outlet (Chuck Evans - 844409),"3513 Louisville Road, Bowling Green, KY, USA",37.0111898,-86.3892063,42101,Active,21
Red Barn Liquor (Red Barn - 675531),"1731 U.S. 31 West Bypass, Bowling Green, KY, USA",36.9793825,-86.4532297,42101,Active,19
Gateway Liquor (772356),"3751 Tower Road, Aurora, CO, USA",39.7679754,-104.7730021,80011,Inactive,0
Prime Liquor (Prime Liquor - 319448),"7149 North Academy Boulevard, Colorado Springs, CO, USA",38.9356178,-104.7959489,80920,Inactive,0
Xpress Liquor (315739),"2101 Corona Road, Columbia, MO, USA",38.9319714,-92.3991061,65203,Inactive,0
Burnham Grocers & Liquors (752922),"828 South Wabash Avenue, Chicago, IL, USA",41.8708457,-87.6262283,60605,Active,13
Xpress Liquor (659270),"201 East Fifth Street, Washington, MO, USA",38.5556105,-91.0108112,63090,Inactive,0
Vette City Liquors (337864),"3032 Louisville Road, Bowling Green, KY, USA",37.0098217,-86.3977015,42101,Inactive,0
Foremost Liquors (383287),"3210 North Cicero Avenue, Chicago, IL, USA",41.9392736,-87.7472246,60641,Active,45
Armanetti's Beer Wine & Spirits (701865),"18230 Kedzie Avenue, Hazel Crest, IL, USA",41.5583246,-87.6957444,60429,Inactive,0
Konrad Liquor (435303),"6720 West Belmont Avenue, Chicago, IL, USA",41.9384028,-87.7942011,60634,Inactive,0
BWS Beverage (129545),"790 North Milwaukee Avenue, Chicago, IL, USA",41.8960945,-87.6554213,60642,Inactive,4
Parkway Liquors (976606),"2654 Russellville Road, Bowling Green, KY, USA",36.9610068,-86.4899881,42101,Active,66
Discount Liquors (347230),"3101 Alvey Park Drive East, Owensboro, KY, USA",37.7544408,-87.0635109,42303,Active,164
BWS Beverage 2 (251150),"1586 North Clybourn Avenue, Chicago, IL, USA",41.9102692,-87.6490664,60642,Inactive,0
Lakeside Wine and Spirit (915313),"801 West Irving Park Road, Chicago, IL, USA",41.9543897,-87.6498344,60613,Inactive,0
Pecos Wine and Spirits (424791),"5595 North Pecos Street, Denver, CO, USA",39.7979314,-105.0069461,80221,Inactive,0
Armanetti Liquor (395466),"85 East Fullerton Avenue, Addison, IL, USA",41.9196429,-87.9869529,60101,Inactive,0
Lively Liquors (357357),"1170 East Higgins Road, Elk Grove Village, IL, USA",42.0264559,-87.9681328,60007,Active,2
Jacobs Liquor (439880),"7340 Texas 78, Sachse, TX, USA",32.9876743,-96.5754381,75048,Inactive,0
BP Clairmont Food Mart (160598),"1885 Clairmont Road, Decatur, GA, USA",33.8093956,-84.3090362,30033,Inactive,0
Save More Market (Save More Market - 336019),"1598 McAllister Street, San Francisco, CA, USA",37.7779564,-122.4380759,94115,Inactive,0
231 Liquors (892683),"1823 Morgantown Road, Bowling Green, KY, USA",36.9892382,-86.4939639,42101,Inactive,0
Shyamrock Liquors (867255),"2926 Nashville Road, Bowling Green, KY, USA",36.9521473,-86.474538,42101,Inactive,0
Savannah discount  (303701),"2681 Barataria Boulevard, Marrero, LA, USA",29.8530213,-90.1078794,70072,Inactive,0
Liquor Stop (875915),"9218 Indianapolis Boulevard, Highland, IN, USA",41.5462257,-87.4718893,46322,Inactive,0
Westside Liquors (646144),"501 North Tekoppel Avenue, Evansville, IN, USA",37.9824868,-87.6180948,47712,Inactive,0
Kwick Stop Liquors (992659),"901 North Saint Joseph Avenue, Evansville, IN, USA",37.9859653,-87.6001458,47720,Inactive,0
Kwick Stop Liquors (655616),"901 North Saint Joseph Avenue, Evansville, IN, USA",37.9859653,-87.6001458,47720,Inactive,0
Kwick Stop Liquors (169202),"901 North Saint Joseph Avenue, Evansville, IN, USA",37.9859653,-87.6001458,47720,Inactive,0
Liquor Barn (720532),"4415 South Broadway, Englewood, CO, USA",39.6364438,-104.9882462,80113,Inactive,0
Warehouse Liquor Mart (615206),"3371 West Hampden Avenue, Sheridan, CO, USA",39.6536974,-105.0311838,80110,Inactive,0
Broadway Discount Liquor (998393),"4615 South Broadway, Englewood, CO, USA",39.6326672,-104.9884019,80113,Inactive,0
Five Star Liquor (890324),"1249 Toronto Road, Springfield, IL, USA",39.7145655,-89.6379258,62712,Inactive,0
Live Oak Liquors (295146),"6830 Suwannee Plaza Lane, Live Oak, FL, USA",30.3257919,-82.9643879,32060,Inactive,0
Wine & Liquor (924092),"2446 Army Trail Road, Hanover Park, IL, USA",41.9422893,-88.1660713,60133,Inactive,0
BURNHAM GROCERS & LIQUORS (BURNHAM GROCERS & LI - 436118),"828 South Wabash Avenue, Chicago, IL, USA",41.8708457,-87.6262283,60605,Inactive,0
Blarney Stone Wine & Spirits 2 (Lincoln Way West - 733323),"3811 Lincoln Way West, South Bend, IN, USA",41.6941501,-86.302386,46628,Inactive,0
Diversey Prestige Liquors (118141),"946 West Diversey Parkway, Chicago, IL, USA",41.9327425,-87.6533384,60614,Inactive,0
McHenry Liquors (943341),"1782 North Richmond Road, McHenry, IL, USA",42.3523265,-88.2654325,60051,Inactive,0
Sam's Liquor & Wine (Sam's Liquor - 219164),"520 State Route 31, McHenry, IL, USA",42.3217037,-88.2731671,60050,Inactive,0
Foremost Liquors (Arlington - 559979),"1776 West Algonquin Road, Arlington Heights, IL, USA",42.0583138,-88.006246,60005,Inactive,0
Amador Liquors (369060),"1167 West 18th Street, Chicago, IL, USA",41.8577336,-87.6558605,60608,Inactive,0
Lukas Liquor Superstore (335478),"8457 South Yosemite Street, Lone Tree, CO, USA",39.5634456,-104.8858261,80124,Inactive,0
Dogwood Wine & Spirits Superstore (139786),"15678 Manchester Road, Ellisville, MO, USA",38.5915585,-90.5768828,63011,Inactive,2
Sportsman's Cardinal Liquor ( CARDINAL LIQUOR  - 559034),"1421 West Schaumburg Road, Schaumburg, IL, USA",42.025063,-88.1150665,60194,Inactive,0
Emporium Beverage Depot (247242),"130 Sibley Boulevard, Dolton, IL, USA",41.6230161,-87.6185994,60419,Inactive,0
Corner Liquor & Grocery (990512),"102 West Fox Street, Yorkville, IL, USA",41.6388526,-88.4476209,60560,Active,4
Sheridan Liquor & Lounge (Sheridan Liquor  - 917711),"3944 North Sheridan Road, Chicago, IL, USA",41.9540772,-87.6549145,60613,Inactive,0
Homewood Liquors (905972),"18222 Halsted Street, Homewood, IL, USA",33.4694163,-84.444655,60430,Inactive,444
