Stadium Name,Address,cid,State,City,CountryCode,PostalCode,Latitude,Longitude,PlaceId,Rating ,Reviews,average,m,"Averag of 
Rating & Review",Store Rank
Park Avenue Liquor Shop,"270 Madison Ave, New York, NY 10016",,New York,New York,,10016,,,,4.4,209,,,,
Philippe Liquors,"312 W 23rd St, New York, NY 10011",,New York,New York,,10011,,,,4.3,84,,,,
London Terrace Liquor,"221 9th Ave, New York, NY 10011",,New York,New York,,10011,,,,4.4,37,,,,
Turtle Bay Liquors,"855 2nd Ave, New York, NY 10017",,New York,New York,,10017,,,,4,71,,,,
Atmi Liquor Store,"166 2nd Ave, New York, NY 10003",,New York,New York,,10003,,,,3.4,91,,,,
Hells Kitchen wines & spirits,"408 W 55th St, New York, NY 10019",,New York,New York,,10019,,,,4.5,61,,,,
58 Wine and Liquor,"120 W 58th St, New York, NY 10019",,New York,New York,,10019,,,,4.7,179,,,,
Midtown 38 Wines,"146 W 38th St, New York, NY 10018",,New York,New York,,10018,,,,4.2,172,,,,
Astor Wines & Spirits,"399 Lafayette St, New York, NY 10003",,New York,New York,,10003,,,,4.7,1817,,,,
10th Ave Wines & Liquors,"812 10th Ave, New York, NY 10019",,New York,New York,,10019,,,,4.1,55,,,,
Abbey Road Wines & Spirits,"877 10th Ave, New York, NY 10019",,New York,New York,,10019,,,,4.2,94,,,,
Cambridge Wines & Liquors,"594 8th Ave, New York, NY 10018",,New York,New York,,10018,,,,3.8,72,,,,
Central Perk Wine and Spirits,"1420 6th Ave, New York, NY 10019",,New York,New York,,10019,,,,4.6,155,,,,
Liquors on Allen,"101 Allen St, New York, NY 10002",,New York,New York,,10002,,,,4.3,72,,,,
New York Liquor Co.,"2131 Palmer Ave, Larchmont, NY 10538",,New York,Larchmont,,10538,,,,4.8,23,,,,
NYC Wines & Liquors,"2256 3rd Ave, New York, NY 10035",,New York,New York,,10035,,,,4.3,71,,,,
111 Lex Liquors and Wine,"111 Lexington Ave, New York, NY 10016",,New York,New York,,10016,,,,3.9,75,,,,
Ambassador Wines & Spirits,"1020 2nd Ave, New York, NY 10022",,New York,New York,,10022,,,,4.8,251,,,,
Grace Wine & Spirits,"610 10th Ave, New York, NY 10036",,New York,New York,,10036,,,,4.3,70,,,,
Shon 45 Wine & Spirits,"840 8th Ave, New York, NY 10019",,New York,New York,,10019,,,,4,103,,,,
Casa Oliveira Wines & Liquors,"98 7th Avenue South, New York, NY 10014",,New York,New York,,10014,,,,4.5,26,,,,
East Houston Wine & Liquor,"250 East Houston St., New York, NY 10002",,New York,New York,,10002,,,,4.5,134,,,,
Morton Williams Wine & Spirits,"311 East 23rd St., New York, NY 10010",,New York,New York,,10010,,,,4.1,209,,,,
Bowery & Vine,"269 Bowery, New York, NY 10002",,New York,New York,,10002,,,,4.1,88,,,,
Financial District Wine,"120 Nassau St., New York, NY 10038",,New York,New York,,10038,,,,4.2,106,,,,
Winfield Flynn Wines & Spirits,"558 3rd Ave, New York, NY 10016",,New York,New York,,10016,,,,3.9,35,,,,
McCabes Wine & Spirits,"1349 3rd Ave., New York, NY 10021",,New York,New York,,10021,,,,4.0,63,,,,
Bottlerocket Wine & Spirit,"5 W 19th St., New York, NY 10011",,New York,New York,,10011,,,,4.5,164,,,,
Martin Brothers Wine & Spirits,"2781 Broadway, New York, NY 10025",,New York,New York,,10025,,,,4.2,91,,,,
Zula Wines & Spirits,"487 5th Avenue, Brooklyn, NY 11215",,New York,Brooklyn,,11215,,,,4.9,44,,,,
Mei Chi Liquors,"391 Flatbush Ave, Brooklyn, NY 11238",,New York,Brooklyn,,11238,,,,4.1,88,,,,
Pier Wines,"12 N 5th St., Brooklyn, NY 11211",,New York,Brooklyn,,11211,,,,4.5,32,,,,
East Village Farm & Grocery,"69 2nd Ave, New York, NY 10003",,New York,New York,,10003,,,,3.2,284,,,,
Bottle Hampton,"850 County Road 39, Southampton, NY 11968",,New York,Southampton,,11968,,,,4.7,217,,,,
Bottles and Cases,"99 E Main Street, Huntington, NY 11743",,New York,Huntington,,11743,,,,4.5,420,,,,
Park Place Wines & Liquors,"84 Park Place, East Hampton, NY 11937",,New York,East Hampton,,11937,,,,4.9,52,,,,
East River Wines & Spirits,"302 Pleasant Ave, New York, NY 10035",,New York,New York,,10035,,,,4.3,207,,,,
Whiskey & Wine Off 69,"1321 2nd Ave, New York, NY 10021",,New York,New York,,10021,,,,4.5,60,,,,
Philippe Liquors,"312 West 23rd Street, New York, NY 10011",,New York,New York,,10011,,,,4.3,80,,,,
Greenwich Village Farm,"33 Greenwich Ave, New York, NY 10014",,New York,New York,,10014,,,,4.2,16,,,,
Broadway Spirits,"299 Broadway, New York, NY 10007",,New York,New York,,10007,,,,4.1,181,,,,
G & I Wine & Spirits,"48 Willoughby St, Brooklyn, NY 11201",,New York,Brooklyn,,11201,,,,4.1,249,,,,
Long's Wine & Liquor Depot,"7917 5th Ave, Brooklyn, NY 11209",,New York,Brooklyn,,11209,,,,4.3,108,,,,
Adega Wine & Spirits,"31-25 Ditmars Blvd, Queens, NY 11105",,New York,Queens,,11105,,,,4.3,139,,,,
Finest Kind Wines & Liquors,"552 West Lake Drive, Montauk, NY 11954",,New York,Montauk,,11954,,,,4.4,19,,,,
Cork & Bottle,"1158 1st Avenue, New York, NY 10065",,New York,New York,,10065,,,,4.5,84,,,,
Half Time Beverage Mamaroneck,"139 Hoyt Avenue, Mamaroneck, NY 10543",,New York,Mamaroneck,,10543,,,,4.7,633,,,,
Columbia Wine Co.,"4038 Broadway, New York, NY 10032",,New York,New York,,10032,,,,4.8,1107,,,,
Deliteria,"1061 2nd Ave, New York, NY 10022",,New York,New York,,10022,,,,3.4,38,,,,
St. Marks Wine & Liquor,"16 Saint Marks Place, New York, NY 10003",,New York,New York,,10003,,,,4.6,72,,,,
Freshy's Deli & Grocery,"941 Columbus Ave, New York, NY 10025",,New York,New York,,10025,,,,3.2,93,,,,
Mahan Inc,"195 9th Ave, New York, NY 10011",,New York,New York,,10011,,,,3.5,2,,,,
Wild Orchid Wines & Spirits,"1175 Utica Avenue, Brooklyn, NY 11203",,New York,Brooklyn,,11203,,,,2.6,15,,,,
Bensonhurst Liquors,"7506 18th Ave, Brooklyn, NY 11214",,New York,Brooklyn,,11214,,,,4.5,192,,,,
Grape Hill Liquors,"501A Atlantic Avenue, Brooklyn, NY 11217",,New York,Brooklyn,,11217,,,,4.1,52,,,,
Rosetta Wines,"40 Exchange Place, New York, NY 10005",,New York,New York,,10005,,,,3.8,59,,,,
Urban Wines,"45 1st Avenue, New York, NY 10003",,New York,New York,,10003,,,,4.7,86,,,,
Violetta Wines,"161 Madison Avenue, New York, NY 10017",,New York,New York,,10017,,,,3.7,29,,,,
Lalu Deli,"594 Columbus Ave, New York, NY 10024",,New York,New York,,10024,,,,4.3,51,,,,
Silver and White Wines,"260 Park Avenue South, New York, NY 10010",,New York,New York,,10010,,,,3.5,56,,,,
An Oak and Barrel,"235 East 57th Street, New York, NY 10022",,New York,New York,,10022,,,,4.6,105,,,,
The Wine Hut,"197 6th Avenue, New York, NY 10014",,New York,New York,,10014,,,,4.6,62,,,,
Harlem Wines and Spirits,"17 W 125th Street, New York, NY 10027",,New York,New York,,10027,,,,4.2,78,,,,
Yours Wholesome Food & Beer,"159 Essex Street, New York, NY 10002",,New York,New York,,10002,,,,3.5,37,,,,
Corks on Columbus,"313 Columbus Avenue, New York, NY 10023",,New York,New York,,10023,,,,4.2,50,,,,
Fine Wine on First,"939 1st Avenue, New York, NY 10022",,New York,New York,,10022,,,,3.9,25,,,,
New York Wine Exchange,"9 Broadway, New York, NY 10004",,New York,New York,,10004,,,,3.9,90,,,,
U.N. Wine Exchange,"885 1st Avenue, New York, NY 10022",,New York,New York,,10022,,,,4.1,25,,,,
East End Wine Exchange,"68 E End Ave, New York, NY 10028",,New York,New York,,10028,,,,4.3,21,,,,
Grain & Vine,"190 Union Avenue, Brooklyn, NY 11211",,New York,Brooklyn,,11211,,,,4.6,222,,,,
Michael Towne Wines and Spirits,"73 Clark Street, Brooklyn, NY 11201",,New York,Brooklyn,,11201,,,,4.5,142,,,,
TheLiquorStore.com,"55 Flatbush Avenue, Brooklyn, NY 11217",,New York,Brooklyn,,11217,,,,4.4,343,,,,
Best Wine & Spirit 21,"21 E Shore Rd, Manhasset, NY 11030",,New York,Manhasset,,11030,,,,4.5,78,,,,
Nassau Grocery,"59 Nassau Street, New York, NY 10038",,New York,New York,,10038,,,,4.8,5,,,,
Fresh Food Deli,"926 2nd Ave, New York, NY 10022",,New York,New York,,10022,,,,3.4,8,,,,
Rouge & Blanc Wine and Liquor,"336 1st Avenue, New York, NY 10009",,New York,New York,,10009,,,,4.5,76,,,,
Uptown Wine Pantry,"63 E 125th St #1, New York, NY 10035",,New York,New York,,10035,,,,3.5,73,,,,
Astoria Park Wine & Spirits,"28-07 24th Ave, Long Island City, NY 11102",,New York,Long Island City,,11102,,,,4.8,67,,,,
Wine Heaven,"333 3rd Avenue, New York, NY 10010",,New York,New York,,10010,,,,4.2,31,,,,
B & S Zeeman Wines & Liquors,"47 University Place, New York, NY 10003",,New York,New York,,10003,,,,4.1,36,,,,
Golden Rule Wine & Liquor,"457 Hudson Street, New York, NY 10014",,New York,New York,,10014,,,,4.3,39,,,,
Fresh Food Corner,"1431 York Ave, New York, NY 10021",,New York,New York,,10021,,,,3.7,29,,,,
Blue Streak Wines & Spirits,"4720 Center Blvd, Long Island City, NY 11101",,New York,Long Island City,,11101,,,,4.5,113,,,,
McGoverns Wine,"7207 3rd Ave, Brooklyn, NY 11209",,New York,Brooklyn,,11209,,,,4.5,159,,,,
86th Street Wine and Liquors,"304 East 86th Street, New York, NY 10028",,New York,New York,,10028,,,,4.2,121,,,,
